session_id,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-20_07-15-59,1,1,sfWJLWu5ZHoqSLW13BfBURDJ,v5,1768911427.656018,4008,True,3.075375105254352,True,True
2026-01-20_07-15-59,2,1,b6XrE18oOcraSAwP6hnYur3a,v5,1768911427.753757,4008,True,0.7827080553397536,True,True
2026-01-20_07-15-59,3,1,eAKreZVhYcnwJO4fBzlxx6TS,v5,1768911427.85482,4002,True,1.8752500182017684,True,True
2026-01-20_07-15-59,4,1,lv2QmPfClgUiViI2Tqtw1S9i,v5,1768911427.956492,4004,False,1.815167022868991,False,False
2026-01-20_07-15-59,4,2,lv2QmPfClgUiViI2Tqtw1S9i,v5,1768911427.963459,4003,True,1.5638750046491623,True,True
2026-01-20_07-15-59,5,1,K9DxYY26d6UcLfLq1VnezgAt,v5,1768911428.0576158,4008,True,0.8926669834181666,True,True
2026-01-20_07-15-59,6,1,fSNxSJTvYihDgDSh8m4j1M5C,v5,1768911428.158664,4008,False,1.738165970891714,False,False
2026-01-20_07-15-59,6,2,fSNxSJTvYihDgDSh8m4j1M5C,v5,1768911428.160542,4009,True,2.551457961089909,True,True
2026-01-20_07-15-59,7,1,aZq74tcyzugr6jRb3vb259fZ,v5,1768911428.259785,4008,True,1.0330420918762684,True,True
2026-01-20_07-15-59,8,1,PZQi5n9mWHWmSUKh7Evv5RIx,v5,1768911428.3608289,4001,True,2.153499983251095,True,True
2026-01-20_07-15-59,9,1,5274bwyUsXyEbtuNWJF0KYSq,v5,1768911428.4624178,4007,True,2.195167005993426,True,True
2026-01-20_07-15-59,10,1,tuwZEPuiXL4rwRx5yJWZ1EeL,v5,1768911428.562866,4001,True,1.069999998435378,True,True
2026-01-20_07-15-59,11,1,BCjNeWGdg8lfAISFKhqxcXbl,v5,1768911428.663973,4008,True,1.2474999530240893,True,True
2026-01-20_07-15-59,12,1,rvJlJn9dGbAKsnlCGDqRfJJa,v5,1768911428.765215,4000,False,2.043207990936935,False,False
